order,aic,aicc,bic
"(0, 1, 1)",-68.70785389146299,-68.18611476102821,-66.19166081542002
"(1, 0, 0)",-68.77237381859716,-67.7288955577276,-64.88486322058418
"(1, 1, 0)",-66.73667039245092,-66.21493126201614,-64.22047731640795
