order,aic,aicc,bic
"(1, 1, 0)",110.9885708612862,111.51030999172099,113.50476393732917
"(0, 1, 1)",111.05652883608462,111.5782679665194,113.57272191212759
"(1, 0, 0)",112.8879728942115,113.93145115508106,116.77548349222448
