model,order,seasonal,aic,aicc,bic
ar1,"(1, 0, 0)",None,603.8302251879113,604.1502251879114,610.9385687453124
sar7,"(1, 0, 0)","(1, 0, 0, 7)",605.0277927530987,605.5683332936392,614.5055841629668
sar14,"(1, 0, 0)","(1, 0, 0, 14)",605.4920075121242,606.0325480526648,614.9697989219924
