fitted,residual,studentized_residual
0.042682133423845366,0.0038828819372052487,0.954646873323841
0.042682133423845366,0.0038828819372052487,0.9546468733236632
0.03171894941397686,-8.412661182029962e-05,-0.05327608779289962
0.03568683948538843,-0.0033765477066254115,-1.3224849891765547
0.04340732078559837,-0.002884630048534828,-1.4985568162261254
0.059465616966489825,-0.0021882061926850396,-1.2614914807127053
0.04180729462562525,0.00017178558633662577,0.1104941620215563
0.07841880623418293,-6.903221215494304e-05,-0.04376489700719727
0.029281953441658945,-0.002216644318753822,-1.2729262241784733
0.05547699856542637,-0.0010012443095485518,-0.6457489197083316
0.042682133423845366,0.0038828819372052487,0.954646873323725
