model,order,seasonal,aic,aicc,bic
sar14,"(1, 0, 0)","(1, 0, 0, 14)",22447.095834290383,22447.102107816103,22474.140154705856
sar7,"(1, 0, 0)","(1, 0, 0, 7)",22473.159067893357,22473.165341419077,22500.20338830883
ar1,"(1, 0, 0)",None,22475.86151034801,22475.86527387318,22496.144750659616
