order,aic,aicc,bic
"(0, 1, 1)",-91.64545875160587,-91.2316656481576,-88.71398694600641
"(1, 0, 0)",-91.76691262612985,-90.9393264192333,-87.2773899417304
"(1, 1, 0)",-88.119413070301,-87.70561996685272,-85.18794126470154
