order,aic,aicc,bic
"(0, 1, 1)",131.968104286476,132.3818973899243,134.89957609207545
"(1, 1, 0)",132.99541803990422,133.4092111433525,135.92688984550367
"(1, 0, 0)",133.27513428070145,134.102720487598,137.7646569651009
