,mean_abs_shap
s060,0.8134676
s461,0.241979
s022,0.2162349
s087,0.19368131
s001,0.18328252
s478,0.16171439
s011,0.15055367
s202,0.1494444
s487,0.1386798
s066,0.13571255
s489,0.13559616
s470,0.1281639
s103,0.12028154
s281,0.119731605
s034,0.11648688
s345,0.11431135
s446,0.112843595
s542,0.111786194
s492,0.10941795
s354,0.10863616
s520,0.108380005
s301,0.10554835
s486,0.103159405
s421,0.09080465
s363,0.08822895
s476,0.087226816
s082,0.08655545
s020,0.08599974
s003,0.084689125
s116,0.082615785
s559,0.079196595
s091,0.078935936
s065,0.074203834
s589,0.07381526
s424,0.07351427
s521,0.07191864
s104,0.06879989
s576,0.06626011
s427,0.06616405
s092,0.06584821
s127,0.06297272
s557,0.060734153
s572,0.059335906
s437,0.05921868
s084,0.05916391
s126,0.058496624
s578,0.05704387
s422,0.05645471
s046,0.05629882
s131,0.05624082
s341,0.056156997
s409,0.05546184
s563,0.053427346
s497,0.05316267
s564,0.05251948
s488,0.05241939
s068,0.051814318
s485,0.051496863
s032,0.050287955
s067,0.04981027
s353,0.049528852
s296,0.04668492
s029,0.04506921
s417,0.044785656
s386,0.044741627
s130,0.042055253
s447,0.042017035
s083,0.041206796
s352,0.04023792
s052,0.03976715
s302,0.03972183
s064,0.038445648
s432,0.03835552
s438,0.038244974
s367,0.03790776
s042,0.037810583
s425,0.037536725
s304,0.037340138
s114,0.037197392
s033,0.0370138
s089,0.036835957
s275,0.036510553
s378,0.03528553
s556,0.035256006
s299,0.03498719
s418,0.034227274
s337,0.033883166
s036,0.03355889
s072,0.032882333
s349,0.03227056
s049,0.030961202
s298,0.03069259
s366,0.030500028
s018,0.029245704
s525,0.02905275
s211,0.028777925
s558,0.028752472
s528,0.027825821
s456,0.027609529
s274,0.026456056
s101,0.026265131
s471,0.024723671
s119,0.02468852
s468,0.024625162
s454,0.024577284
s524,0.02448122
s031,0.023623087
s553,0.02266279
s009,0.022569226
s055,0.02244808
s105,0.02205464
s325,0.020812403
s498,0.020262158
s286,0.020136176
s016,0.019629361
s549,0.01912877
s021,0.01899209
s469,0.018806737
s061,0.018638179
s027,0.018482948
s512,0.018352129
s420,0.018305458
s059,0.017914603
s442,0.017198015
s093,0.016803391
s411,0.016768742
s460,0.016711075
s350,0.016427476
s481,0.016260097
s410,0.015943214
s571,0.015506619
s412,0.015209663
s577,0.015005378
s527,0.014821394
s121,0.014805638
s097,0.014718922
s024,0.014642386
s047,0.014585085
s356,0.013996836
s002,0.013760741
s063,0.013671984
s413,0.013579489
s041,0.013291882
s040,0.013256729
s441,0.012614918
s013,0.01249105
s434,0.0119907735
s445,0.011779834
s430,0.011491958
s201,0.011340116
s541,0.011219181
s028,0.0108833695
s587,0.010833877
s282,0.010812095
s414,0.010780366
s135,0.010746263
s458,0.010742428
s511,0.010731113
s010,0.010452434
s429,0.009985767
s355,0.00996645
s088,0.009907674
s079,0.0093682315
s562,0.009363019
s590,0.009309541
s004,0.009015932
s526,0.008922275
s081,0.00885643
s317,0.00881214
s501,0.008666824
s030,0.008570369
s099,0.008532593
s051,0.008439357
s433,0.008401842
s295,0.008377952
s015,0.008369535
f_miss_clq14,0.008332192
s085,0.008279882
s357,0.008219296
s586,0.008075981
s279,0.008021477
s045,0.007946171
s495,0.007932049
s548,0.007864335
s077,0.0077943183
s523,0.007752011
s090,0.0077319476
s128,0.007699031
s491,0.0076862383
s408,0.0074729184
s037,0.0074523315
s475,0.0073935217
s561,0.0073300055
s019,0.007178603
s023,0.007033836
s080,0.006997115
s449,0.00694104
s108,0.0069058808
s473,0.0067172963
s271,0.0065058023
s443,0.006337442
s044,0.0063032713
s012,0.006140171
s568,0.0060732355
s369,0.0060722837
s540,0.0060217734
s025,0.005756572
s109,0.0054684496
s448,0.005315585
s484,0.005179047
s547,0.0051552295
s546,0.0051358077
s570,0.0050432114
s339,0.0046565933
s569,0.004544662
s377,0.0044407696
s440,0.004418482
s496,0.00433854
s472,0.0041172192
s368,0.0039001293
s071,0.0038658304
s076,0.003850879
s416,0.0038373957
s338,0.0037953735
s477,0.0036866488
s129,0.0035121508
s480,0.003471165
s069,0.0029471642
s457,0.0027303698
s007,0.0027218144
s490,0.0026022526
s094,0.002345771
s297,0.0022710941
s303,0.002251466
s474,0.002142793
s113,0.0020673533
s351,0.002001807
s439,0.0019916645
s494,0.0018294047
s062,0.0018176488
s455,0.0018096603
s078,0.0014455905
s054,0.0012905715
s048,0.0012900995
f_row_missing_rate,0.0012285985
s133,0.0012262309
s008,0.0009097309
s500,0.0007147886
s483,0.000606212
s276,0.00049021834
s336,0.00048817665
s453,0.00046709174
f_miss_clq23,0.00045324516
s419,0.0001656926
s388,0.0001288667
s102,1.0076143e-05
s096,0.0
s522,0.0
s545,0.0
s543,0.0
f_miss_block5,0.0
