,mean_abs_shap
59,0.80331486
21,0.43460986
460,0.39343375
519,0.36284795
0,0.35452133
33,0.3512472
469,0.34711868
431,0.3103573
475,0.29111472
79,0.24249016
348,0.22026779
65,0.22012623
129,0.21404397
200,0.20997845
125,0.19816592
471,0.17726733
557,0.1752989
22,0.16986515
300,0.16716215
437,0.1546287
298,0.1389436
436,0.13659419
301,0.13187398
64,0.13022394
510,0.11815454
26,0.112826936
127,0.112402864
210,0.08067125
337,0.079594314
316,0.07733056
78,0.0723833
28,0.07232047
294,0.07227027
miss_clq14,0.06835253
103,0.0640121
295,0.028065722
387,0.0
miss_clq23,0.0
