run_id,run_order,design_row,is_center,is_replicate,replicate,s060,s022,s461,s060_coded,s022_coded,s461_coded,p_cal_mean,p_cal_std,n_background
doe_010,1,10,True,False,1,1.1741,-5525.25,26.1518,0.0,0.0,0.0,0.04768502326221183,0.07425324147158963,1309
doe_011,2,11,True,False,1,1.1741,-5525.25,26.1518,0.0,0.0,0.0,0.04768502326221183,0.07425324147158963,1309
doe_005,3,5,False,False,1,-4.150180000000001,-6416.313489484811,46.1914,-1.0,-1.0,1.0,0.03163482280215656,0.03568901332121835,1309
doe_003,4,3,False,False,1,-4.150180000000001,-5194.993215089388,15.2752,-1.0,1.0,-1.0,0.03231029177876302,0.040278307110736426,1309
doe_007,5,7,False,False,1,-4.150180000000001,-5194.993215089388,46.1914,-1.0,1.0,1.0,0.04052269073706354,0.05728150234207077,1309
doe_004,6,4,False,False,1,18.879069730689327,-5194.993215089388,15.2752,1.0,1.0,-1.0,0.057277410773804785,0.08350939278110457,1309
doe_002,7,2,False,False,1,18.879069730689327,-6416.313489484811,15.2752,1.0,-1.0,-1.0,0.041979080211961874,0.061145647989509055,1309
doe_008,8,8,False,False,1,18.879069730689327,-5194.993215089388,46.1914,1.0,1.0,1.0,0.07834977402202799,0.09938139286860427,1309
doe_001,9,1,False,False,1,-4.150180000000001,-6416.313489484811,15.2752,-1.0,-1.0,-1.0,0.027065309122905123,0.02107809586012783,1309
doe_006,10,6,False,False,1,18.879069730689327,-6416.313489484811,46.1914,1.0,-1.0,1.0,0.05447575425587782,0.08308568596019254,1309
doe_009,11,9,True,False,1,1.1741,-5525.25,26.1518,0.0,0.0,0.0,0.04768502326221183,0.07425324147158963,1309
