term,estimate_log_odds,std_error,z_value,p_value,odds_ratio,abs_estimate_log_odds,is_interaction,analysis_scope
const,-3.102537998833879,0.04175648888067062,-74.30073940603914,0.0,0.04493501253857074,3.102537998833879,False,simulated Bernoulli response conditioned on calibrated surrogate
s060_coded,0.23744526583232278,0.048936858333201536,4.852074160862641,1.2217691672092834e-06,1.268005591660651,0.23744526583232278,False,simulated Bernoulli response conditioned on calibrated surrogate
s022_coded,0.1624575163618358,0.049099625306842774,3.308732303893873,0.0009371939934447555,1.1763983397056577,0.1624575163618358,False,simulated Bernoulli response conditioned on calibrated surrogate
s461_coded,0.10623702136032649,0.049095829444046724,2.163870588669902,0.030474282742066885,1.112085433273199,0.10623702136032649,False,simulated Bernoulli response conditioned on calibrated surrogate
s060_coded:s461_coded,0.045522292812538834,0.04869056023410569,0.9349305613586345,0.34982408597606374,1.0465743354393608,0.045522292812538834,True,simulated Bernoulli response conditioned on calibrated surrogate
s060_coded:s022_coded,-0.041727774862704084,0.049073385790054165,-0.8503137533901556,0.39515067210569577,0.9591308445626279,0.041727774862704084,True,simulated Bernoulli response conditioned on calibrated surrogate
s022_coded:s461_coded,0.03942166616127059,0.048110773095657096,0.8193937370927248,0.41256180701593204,1.0402090121284135,0.03942166616127059,True,simulated Bernoulli response conditioned on calibrated surrogate
