term,estimate,std_error,t_value,p_value,abs_estimate,is_interaction
Intercept,0.04720657595099842,0.013681179254773442,3.4504756550520144,0.1795820799162692,0.04720657595099842,False
s060,0.0036654599524522558,0.0005950927692162754,6.159476542253385,0.10246215780190435,0.0036654599524522558,False
s461,0.0012269069098738618,0.00038457560663300827,3.190287914034733,0.1933741016152321,0.0012269069098738618,False
s060:s461,1.6618831290394847e-05,3.943664050913526e-06,4.214058569858453,0.14832689859323134,1.6618831290394847e-05,True
s022,3.0180566538164823e-06,2.340993804986085e-06,1.2892202650807194,0.4199932959441577,3.0180566538164823e-06,False
s060:s022,5.065961182360376e-07,9.979989004491274e-08,5.076119001815084,0.12382900833597812,5.065961182360376e-07,True
s022:s461,1.6292991362407603e-07,6.577701175860028e-08,2.477003884305722,0.2442732967777241,1.6292991362407603e-07,True
