term,estimate_log_odds,std_error,z_value,p_value,odds_ratio,abs_estimate_log_odds,is_interaction,analysis_scope
const,-3.0990567011996624,0.0416856250487936,-74.3435344335649,0.0,0.04509171730110994,3.0990567011996624,False,simulated Bernoulli response conditioned on calibrated surrogate
s060_coded,0.236696473228879,0.04885407239534824,4.844969142253464,1.266313584201551e-06,1.2670564738430377,0.236696473228879,False,simulated Bernoulli response conditioned on calibrated surrogate
s022_coded,0.16192662225525545,0.04901545503179727,3.303582964805907,0.0009545771916676694,1.1757739625138677,0.16192662225525545,False,simulated Bernoulli response conditioned on calibrated surrogate
s461_coded,0.10595317775178953,0.04901234309114656,2.1617652017727873,0.03063627899922543,1.1117698197253805,0.10595317775178953,False,simulated Bernoulli response conditioned on calibrated surrogate
s060_coded:s461_coded,0.04545239248619537,0.048610309294500394,0.9350360683950164,0.3497697117968702,1.0465011821085215,0.04545239248619537,True,simulated Bernoulli response conditioned on calibrated surrogate
s060_coded:s022_coded,-0.04147272846275898,0.048989330763952815,-0.8465665445112657,0.3972367681631733,0.9593754986293531,0.04147272846275898,True,simulated Bernoulli response conditioned on calibrated surrogate
s022_coded:s461_coded,0.039348112467145965,0.04803528420396502,0.8191501959282259,0.4127007260605451,1.040132503726682,0.039348112467145965,True,simulated Bernoulli response conditioned on calibrated surrogate
