factor,low,high,response_low,response_high,effect_high_minus_low,abs_effect
s060,-4.150180000000001,18.879069730689327,0.03288327861022206,0.05802050481591811,0.02513722620569605,0.02513722620569605
s022,-6416.313489484811,-5194.993215089388,0.038788741598225346,0.052115041827914835,0.013326300229689489,0.013326300229689489
s461,15.2752,46.1914,0.0396580229718587,0.051245760454281475,0.011587737482422776,0.011587737482422776
