,0
threshold,0.5807785391807556
precision,0.3384615384615385
recall,0.24444444444444444
f1,0.2838709677419355
mcc,0.24364351994914465
fpr,0.03527481542247744
tp,22.0
fp,43.0
fn,68.0
tn,1176.0
