fitted,residual,studentized_residual
0.04575547088979204,0.0008095444712585761,0.7084747121679454
0.04575547088979204,0.0008095444712585761,0.7084747121679454
0.03132180148822123,0.0003130213139353327,0.6548450183982981
0.03199727046482771,0.00031302131393530497,0.6548450183982394
0.04144287040444278,-0.0009201796673792353,-1.9250288858578533
0.058197590441184006,-0.0009201796673792215,-1.9250288858578246
0.04166605889802655,0.0003130213139353258,0.6548450183982837
0.07803675270809267,0.00031302131393531885,0.6548450183982687
0.027985488790284334,-0.0009201796673792111,-1.9250288858578029
0.05539593392325704,-0.0009201796673792215,-1.925028885857824
0.04575547088979204,0.0008095444712585761,0.7084747121679454
