,0
threshold,0.5541023015975952
precision,0.5588235294117647
recall,0.2111111111111111
f1,0.3064516129032258
mcc,0.31626994227916866
fpr,0.012305168170631665
tp,19.0
fp,15.0
fn,71.0
tn,1204.0
